Feature,Importance
V14,0.1962666470730405
V10,0.11048417453054114
V4,0.10788637462671334
V12,0.09853913636540186
V17,0.08961754724509347
V3,0.0633611453711768
V11,0.049915680618751006
V16,0.04614701772161547
V2,0.037323921745262584
V9,0.02488491761178754
V21,0.017245324838921997
V7,0.01493977605244619
V19,0.013124904906665832
V18,0.01233452740243798
V8,0.011920510956258004
Amount,0.011513297165487988
V20,0.0113936439836685
V27,0.011250697799389451
V26,0.00930263194820394
V1,0.008701421385336939
V13,0.008466026119297636
V15,0.006826501227813376
V6,0.006423437519422485
V5,0.006342834211923927
V22,0.0055190950368510395
V28,0.004583643990694197
V25,0.004173664885946362
V23,0.004110762081004451
Time,0.003806825522200011
V24,0.0035939100566461262
